"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"MAXZEN 冷蔵庫 一人暮らし 85L コンパクト 大容量 右開き 2ドア 幅48cm 冷凍室上側 温度調節 静音 耐熱板 省スペース ブラック JR085HM01BK マクスゼン","23","23","100","124","¥ 15,980","","1","B0H86L7VC2","B0H1VKDTWV","","","",""
"SAMKYO 冷蔵庫 一人暮らし 小型 95L 2ドア 家庭用 耐熱天板 右開き コンパクト 静音 ブラック","29","60","200","781","¥ 17,990","","1","B0DKN46T5T","B0DLBF84S9","89","49","45.5","23800"
"simplus 1ドア冷蔵庫 47L 自動霜取り機能付 左右開き SP-47LD 一人暮らし 小型 コンパクト シンプラス 大容量 温度調整可 両開き 仕切り棚 製氷 サブ冷蔵庫 新生活 (1ドア/47L, ブラック)","33","48","50","327","¥ 10,777","","2","B0D72RXQ62","B0DJVDJ1M7","53.7","50.1","46.3","15970"
"【洗濯機 ラックセット】アイリスオーヤマ 洗濯機 5kg ランドリーマルチラック 白","33","48","","","¥ 35,070","","1","B0DY122K91","B0G1BBKB4T","84","56.2","56.2","34900"
"SAMKYO 冷蔵庫 小型 65L 幅44.4cm スリム 一人暮らし 右開き 1ドア 直冷式 静音 耐熱天板 GU65S ホワイト","39","55","100","142","¥ 14,990","","1","B0FBWPV2CQ","B0FKT947J8","66","46.5","46","15540"
"MAXZEN 冷凍庫 33L 小型 右開き 幅46cm ノンフロン セカンド冷凍庫 チェストフリーザー コンパクト フリーザー ストッカー 冷凍 保存 ストック 食料 冷凍食品 ブラック 黒 JF033HM01 マクスゼン","41","51","300","709","¥ 11,480","","3","B0GW8XTZ26","B0CPPRX1R9","52.8","49","46","16500"
"【設置込み】アイリスオーヤマ 冷蔵庫 133L ブラック 幅47cm IRSD-13A-B 2ドア 右開き 直冷式 新生活 一人暮らし","43","53","","","¥ 37,500","","1","B0FH64WQ1R","B0GYF4633F","128.5","55.5","51","36000"
"SAMKYO 70L 冷凍庫 スリム 幅35.6cm 霜取り不要 ファン式 冷凍ストッカー 急速冷凍 -27℃ 5段階温度調節 前開き 省エネ 静音 セカンド冷凍庫 家庭用 ZU70SD ブラック","52","53","300","947","¥ 29,980","","1","B0FBWWFMB5","B0FLDMT3BF","91","58.1","38","26500"
"SAMKYO 冷凍庫 33L 小型 幅45cm 2時間急冷 ミニ冷凍庫 一人暮らし コンパクト 前開き 温度調節4段階 耐熱天板 静音 省エネ ZU30 ブラック","55","74","500","275","¥ 12,970","","1","B0FDQLLM4L","B0FJMDX2JZ","53.4","47.6","46.7","15960"
"SAMKYO 冷蔵庫 48L 一人暮らし 小型 幅45cm スリム ミニ冷蔵庫 コンパクト 省スペース 前開き 7段階温度調節 1ドア 耐熱天板 静音 GU40 ホワイト","74","48","100","317","¥ 10,989","","1","B0FL81WL3T","B0FN3PXBQD","53.6","47.9","46.9","14770"
"アイリスプラザ 冷蔵庫 92L ホワイト 幅47cm PRC-B091D-W 直冷式 1ドア 右開き 新生活 一人暮らし","79","56","50","29","¥ 19,800","","2","B0CN67M4LF","B0FDK5Y9K4","86.1","49.4","46.3","21000"
"MAXZEN 冷凍庫 家庭用 100L 上開き 小型 静音 大容量 省エネ ひとり暮らし 一人 暮らし 温度調整 冷凍ストック まとめ買い 冷凍食品 節電 グレー JF100HM01GR マクスゼン","84","57","50","1238","¥ 19,980","","1","B0CYBZRBR3","B0FXLPL286","","","",""
"SAMKYO 冷凍庫 65L 2時間急冷 家庭用 小型 冷凍ストッカー コンパクト 耐熱天板 前開き 右開き 温度調節4段階 一人暮らし 静音 ZU60 ブラック","86","69","100","701","¥ 19,980","","1","B0DKJPQPGV","B0DLB8LC69","89","49","49","22500"
"アイリスオーヤマ ワインセラー 12本収納 33L 12~18℃ ペルチェ式 庫内LED ミラーガラス メーカーPWC-331P-B","100","55","300","365","¥ 12,620","","2","B08PY6K1M2","B0CLV8RGCY","67.7","56","31.5","12610"
"アイリスオーヤマ 2口ビルトインIH デザインタイプ IHC-BFL221-B ブラック","137","58","","3","¥ 53,800","¥ 58,694","9","B0D7ZVKT46","B0DRT6CJCX","55.3","37.5","12.6","7010"
"【一人暮らしにぴったり！】 SKK 洗濯機 4.5kg 一人暮らし コンパクト 小型 縦型 静音 縦型 タイマー機能付き 予約機能 ほぐし機能搭載 おいそぎ スピードコース すすぎ スリム 時間短縮モード 風乾燥 強力洗浄 【日本企業】","141","72","100","28","¥ 19,980","","1","B0G4KC8MYJ","B0DW8RDGH2","","","",""
"simplus 冷凍庫1ドア 右開き ノンフロン ガラス仕切り棚 小型 冷凍ストッカー SP-33LRFD1 (ブラック, 33L)","152","72","50","463","¥ 12,599","","1","B0DNF8HD6D","B0C6585LQ7","53.7","51.3","46.9","15810"
"【大容量、50L。】 ONE STEP 1ドア冷蔵庫 小型 両開き 一人暮らし 家庭用 コンパクト オフィス 温度調節 ミニ冷蔵庫 ドアポケット 製氷室付き (ホワイト)","161","52","100","1","¥ 11,480","","1","B0GGQP6CMY","B0F99SP38J","","","",""
