"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"【整備済み品】 Apple iPad (第７世代) Wi-Fi 32GB シルバー (整備済み品)","2","20","500","776","¥ 12,056","","8","B0956Y4RH2","B08TWXDXJY","25.8","18.3","4.5","520"
"【整備済み品】 Apple iPad (第９世代) Wi-Fi 64GB シルバー (整備済み品)","3","15","400","610","¥ 38,384","","6","B0BKPLH9MM","B0BKPGTHZ5","32.8","23.6","3","660"
"【整備済み品】Apple iPad Air (第４世代) Wi-Fi 64GB スペースグレイ","6","32","300","416","¥ 49,000","","4","B08TWXM82C","B08TWXWXN8","26.4","19.9","5.6","650"
"Amazon Fire HD 10 インチ タブレット - 1080pフル HDディスプレイ、大画面で動画もマンガも - 32GB ブラック","9","29","1000","5956","¥ 19,980","¥ 19,980","1","B0C2XN8HKD","B0CFYS116M","29.3","17.1","3","610"
"【整備済み品】 Apple iPad (第９世代) Wi-Fi + Cellular 64GB シルバー (整備済み品)","9","7","100","220","¥ 35,000","","12","B0BKPJNXSX","B0BKNYSYBP","26.9","20.6","8","780"
"【整備済み品】 Apple iPad (第６世代) Wi-Fi 32GB スペースグレイ (整備済み品)","9","31","100","1012","¥ 10,300","","2","B0956NVGVM","B08TWWYNHD","32.7","23.6","3.2","650"
"キヤノン Canon 純正 インクカートリッジ BCI-381(BK/C/M/Y)+380 5色マルチパック BCI-381+380/5MP 長さ:5.3cm 幅:13.9cm 高さ:10.75cm","10","39","4000","6362","¥ 5,645","¥ 5,645","58","B07574QXCS","B0DQXHYGZG","14","10.7","5.6","270"
"【整備済み品】 Earth Dreams内蔵 HDD 1TB 3.5インチ NAS丶パソコンPC丶サーバー対応 ハードディスク 保証1年","10","28","100","583","¥ 5,480","","2","B0CNJTBJVW","B0GSZBSYHS","31","12.3","2.9","490"
"Amazon Kindle Paperwhite (16GB) 7インチディスプレイ、色調調節ライト、12週間持続バッテリー、広告なし、ブラック","11","23","1000","9575","¥ 27,980","¥ 27,980","1","B0CFPL6CFY","B0DFZR3MBL","23.6","13.3","1.4","310"
"【Amazon.co.jp限定】 ロジクール 静音 ワイヤレス トラックボール マウス 無線 M575SPd 国内正規品","12","47","5000","2500","¥ 5,280","¥ 5,280","4","B0D9Y1J4NH","B0H8XVRBYV","14","10.7","5.2","210"
"Kindle Paperwhite シグニチャーエディション (32GB) 7インチディスプレイ、明るさ自動調整、色調調節ライト、12週間持続バッテリー、広告なし、メタリックブラック","12","30","2000","5188","¥ 32,980","¥ 32,980","1","B0CFPHTMDX","B0DFZR4XJC","23.7","13.2","1.4","310"
"【整備済み品】 Apple iPad 2022 10.9インチ (第10世代) Wi-Fi 64GB シルバー (整備済み品)","13","6","100","313","¥ 61,701","","3","B0BM8JF9FK","B0BM8HVYBV","35.3","26.3","6.9","950"
"【整備済み品】 Apple iPad mini (第５世代) Wi-Fi + Cellular 64GB シルバー (整備済み品)","15","33","200","545","¥ 25,300","","11","B0956X42S9","B09BYQSD8L","31.7","21.5","7.6","490"
"Amazon Fire HD 8 タブレット - 持ち運びに便利な８インチ、外出先で動画もマンガも - 64GB ブラック","16","43","500","487","¥ 17,980","¥ 17,980","1","B0CVDJ4JX6","B0DG391NGT","24.4","14.3","3.2","460"
"【整備済み品】超軽量Panasonic Let's note CF-SZ6■第7世代 Intel Core i5-7200U＠2.5GHz/メモリ8GB","16","30","200","2488","¥ 16,300","","7","B09LD469FN","B09LD5WFKS","35.6","26.6","10.6","1480"
"【整備済み品】 Apple iPad (第７世代) Wi-Fi + Cellular 128GB シルバー (整備済み品)","18","23","100","518","¥ 24,242","","3","B0956VFXJY","B09BYGHM1H","30","22.3","4.4","500"
"【整備済み品】Apple iPad (A16) 11 インチ Wi-Fi 128GB シルバー","22","8","50","15","¥ 66,327","","12","B0F48L7WZS","B0F48GLQBS","26","19.2","5.2","850"
"バーベイタム (Verbatim) 1回録画用 ブルーレイディスク BD-R XL 100GB 20枚 5mmプラケース ホワイトプリンタブル 片面3層 2-4倍速 VBR520YP20V2","23","39","100","860","¥ 8,980","¥ 12,412","2","B08761TMJD","B0DKF5LMX5","14.3","12.6","10.4","1140"
"Anker Nano Charger (70W, 3 Ports) ホワイト","24","40","500","669","¥ 5,990","","3","B0F99DF9RQ","B0H9YL3SD5","13.2","10.1","4.1","170"
