"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"【ケース販売】ビオレｕ 泡ハンドソープ フルーツ つめかえ用 1.5Ｌ×６個【医薬部外品】","11","46","","2837","¥ 6,500","¥ 6,663","4","B0DPMV7TMB","B0F52VTBYT","38.8","31.7","29.6","10110"
"【医薬部外品】デオナチュレ ソフトストーンW ワキ用 直ヌリ 制汗剤 スティック 無香料×6個(20g×6) おまけ付き","16","18","100","7721","¥ 5,940","¥ 5,940","1","B0H41HB14Y","B0HDRZQ7WL","16.3","15.1","9.2","390"
"VTCOSMETICS(ブイティコスメテックス) リードルショット 毛穴 ハリ スキンケア 美容液 導入美容液 (15.リードルS 700 本品 ハローキティ)","17","67","100","","¥ 6,380","","1","B0GX1BF5CJ","B0DF7FWRJX","11.9","3.3","3.2","80"
"ロレッタ ハードゼリー グリースゼリー ベースケアオイル 1DAY お試しパウチ付き セット 300g+280g+2mL ジェル ヘアワックス","22","47","","17539","¥ 5,005","","1","B0G2LNBQLB","B0GSQYT771","17.4","8.9","8.7","726"
"トゥヴェール バランシングGAローション 3本セット 100mL×3本 導入 化粧水","31","53","100","2639","¥ 5,670","","1","B0DTY1D5B9","B0HC2R522F","17.1","13.2","3.1","380"
"【業務用 大容量】キレイキレイ 薬用 泡ハンドソープ 10L シトラスフルーティの香り(医薬部外品) 詰め替え","34","54","100","6618","¥ 5,550","","33","B01MFGU3ZP","B0F12QZMJL","25.4","24.9","24","10870"
"SALONIA サロニア スピーディーイオン ドライヤー ベージュ【Amazon.co.jp限定】","56","66","3000","368","¥ 5,918","¥ 5,918","1","B0DYNVV4LW","B0HGFL42BM","24.6","13.7","8.9","600"
"ファンケル FANCL マイルド クレンジングオイル 120mL×3本 クレンジング メイク落とし 角栓 毛穴 黒ずみ 化粧落とし まつえくOK","57","59","100","189","¥ 5,590","","1","B0GN9NMRMC","B0HGLS6Q9Q","17.9","15.2","5.6","480"
"バイオヒールボ(BOH) トータルケア4種セット (本品 50mL,ミスト 100ｍL,セラムパッド 70枚,美容液 30mL) 福袋 コフレ 高保湿 ハリ 弾力 タンタン 韓国コスメ ナイトクリーム リフトアップ","69","50","","33","¥ 11,863","","1","B0FYDSKWDP","B0GZGP5QZD","22.1","16.4","10.6","920"
"リファミルクプロテイン/ReFa MILK PROTEIN (500g（本体）, ホワイトアンバーミルクティー, シャンプー・トリートメント・アウトバストリートメントセット)","70","51","50","198","¥ 9,460","","1","B0FMR3JG37","B0H4TRHWMK","31.3","24.7","10.2","1230"
"ビオルチア (Bio Lucia) アイラッシュセラム まつ毛美容液 まつげ美容液 6mL×2本","72","43","300","2680","¥ 7,560","","1","B0D17X2K2N","B0D8BCRHY5","21","14.6","2.1","50"
