"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"ニャンとも清潔トイレ 猫砂 脱臭・抗菌チップ 大きめの粒 4.5L×4個 システムトイレ 猫 Amazon.co.jp限定 (ケース販売)","2","7","4000","277","¥ 5,199","¥ 5,199","1","B01I1FLEDM","B0FBWMLZJD","38.7","26.9","21","11270"
"ヒルズ サイエンス・ダイエット キャットフード アダルト 1~6歳 チキン 4.8kg (300g x16袋) 成猫用 ドライ 下部尿路の健康維持","3","60","800","4581","¥ 5,499","¥ 5,499","1","B091QBNG4B","B0HC9QWSJV","45.4","27.1","19.8","5460"
"Amazonベーシック ペットシーツ 厚型 スーパーワイド 20枚×2袋(40枚) ホワイト(吸収面:ライトブルー)","4","14","800","6053","¥ 5,073","¥ 5,073","1","B085DVHBD3","B0DK779DPW","44","41.4","33","5670"
"カルカン パウチ 成猫用 60g×120袋 まぐろ たい入り ウェットフード キャットフード 総合栄養食 水分補給 大容量 まとめ買い","7","10","","84","¥ 12,936","¥ 12,936","1","B0DKJHY78V","B0FX4CPDLP","47.8","29.6","15.7","8680"
"アイリスオーヤマ ペットシーツ レギュラー 薄型 大容量 (1200枚入り) 44×32.5㎝ 犬 猫 おしっこシート ケース販売","8","20","300","84","¥ 5,480","¥ 5,480","4","B0FKH5FKW3","B0HCBM7H2P","61.5","45.8","34.2","13300"
"Nutro シュプレモ 小型犬用 成犬用 3kg ドライフード 小粒 総合栄養食 ドッグフード 犬 厳選自然素材 香料・着色料 無添加 ニュートロ","10","32","9000","3992","¥ 5,283","¥ 5,283","10","B07D6GXJQQ","B0G2R59S12","40.8","25.5","11.5","3050"
"ヒルズ サイエンスダイエット ドッグフード アダルト 1~6歳 小粒 チキン 6.5kg 成犬用 ドライ","17","42","1000","7858","¥ 6,622","¥ 6,622","23","B06XBLHQTD","B0HBWS2155","52","29","10.8","6600"
"ピュリナワン キャットフード ドライ 成猫用(1歳以上) 室内飼い猫用 インドアキャット チキン 2kg(500g×4袋) (× 5)","22","35","","","¥ 9,295","","","B0GTYMG869","B0GTTRFLQ4","35.7","25.5","12","10300"
"デオトイレ 消臭・抗菌サンド 猫砂 18L(4.5L×4袋) 猫 Amazon.co.jp限定","25","33","2000","1090","¥ 6,523","¥ 6,523","1","B0BFZVFZP6","B0D4YJG1BD","43","36","15.7","15700"
"ピュリナワン キャット 避妊・去勢した猫の体重ケア 避妊・去勢後から全ての年齢に チキン 2kg×2個【まとめ買い】","27","35","","3","¥ 5,280","","8","B0BLGPTPTH","B0D9VYRKBB","44.2","28.1","21.1","4130"
"ニュートロ シュプレモ 超小型犬~小型犬用 体重管理用 成犬用 3kg ドッグフード ドライ 小粒","30","44","5000","2288","¥ 5,419","¥ 5,419","9","B009L0F0VE","B0CKQPNMG8","40.6","32.3","12.6","3050"
"ペレッティー（Peletty）獣医師が使うプロ用 ペット除菌・消臭剤 (5L)","31","44","300","3697","¥ 11,756","","1","B07KCHL3JC","B0B7D7XYSW","29.1","20.9","12.4","5290"
"ヒルズ サイエンスダイエット キャットフード 腸の健康サポートプラス チキン 4.8kg (300g x16) 1歳以上 成猫用 高齢猫用 アダルト シニア ドライ お試し トライアル","33","51","400","570","¥ 6,599","¥ 6,599","1","B0D3LX1CD2","B0HBWRY731","45.5","27.2","19.5","5500"
"ピュリナワン キャット 下部尿路の健康維持F.L.U.T.H.ケア 1歳以上 サーモン＆ツナ 2kg×2個【まとめ買い】","33","52","","1860","¥ 5,268","","7","B0BLGNVV1S","B0B3WCP9VN","31.3","25.2","23.2","4300"
"ニャンとも清潔トイレ 脱臭・抗菌シート66枚(22枚×3個) 猫 トイレシート 猫用 システムトイレ 消臭 Amazon.co.jp限定 (ケース販売)","35","48","1000","100","¥ 6,339","¥ 6,339","3","B01HZSEGOA","B0FFT484YC","47.5","26.4","22.5","3590"
"ヒルズ サイエンスダイエット ドッグフード アダルト ライト 1~6歳 小粒 チキン 6.5㎏ 成犬用 ドライ 肥満","38","52","1000","2013","¥ 5,812","¥ 5,812","21","B06XC2P7C8","B0HBWPQ47H","51.9","34.8","12.3","6650"
"ヒルズ プリスクリプションダイエット ドッグフード ドライ 腸内バイオーム 小粒 チキン 繊維/消化ケア 犬用 療法食 3kg","41","50","2000","1519","¥ 9,460","¥ 9,453","6","B07Y1S4RMV","B095YYLH7T","39","22.2","12.4","3060"
"【大容量】天然成分 ペットにも安心安全の消臭液 きえ〜るペット用 バイオ消臭液 無香 詰替用 特大サイズ 4L","43","60","200","2196","¥ 6,045","¥ 6,045","5","B009RHM38Y","B09MZ9RXL1","27.8","18.6","12","4330"
"ニュートロ ナチュラルチョイス 小型犬用 成犬用 生後8ヶ月以上 チキン&玄米 6kg ドッグフード ドライ 小粒 大容量","44","48","600","1961","¥ 8,981","¥ 8,981","8","B007OP24N0","B0CQYH1VYT","53","44","14","6120"
"シーバ とろ~り メルティ おやつ 成猫用 自然素材レシピ まぐろ味セレクション 12g×400本(20本入り×20パック) 水分補給 キャットフード","45","32","","","¥ 17,778","¥ 17,778","1","B09R1MWX84","B0GTV2PT4J","37.6","28.2","25.4","6240"
"【3個セット】 アイリスオーヤマ ピタフィット ペット用おむつ M 65枚入 男の子用 MNPD-M65","49","57","","3","¥ 7,980","","2","B0F47W6NFS","B0HCBPFNRV","39","27","12","1470"
"Nutro ナチュラルチョイス 超小型犬~小型犬用 減量用 成犬用 チキン&玄米 5.4kg(600g×9袋）小分け ドライフード 小粒 総合栄養食 ドッグフード 犬 自然素材 香料・着色料 無添加 ニュートロ","55","54","","1364","¥ 11,492","¥ 11,492","3","B0GT1SRJK6","B0CQXDJPDD","45.1","31.3","20.8","6100"
"健康缶 パウチ 水分補給 ささみ ペースト 40g×48個 【ケース販売】猫 国産","63","13","","150","¥ 5,846","¥ 5,846","1","B0H45HG4WW","B0HB48H5TH","27","19.4","15.9","2450"
"ヒルズ サイエンスダイエット ドッグフード 減量サポート 小型犬用 1歳以上 チキン 4.8kg (300g×16)","58","53","200","915","¥ 6,098","¥ 6,098","1","B0DHGWQ9HZ","B0HBWXRC1L","45.3","26.9","20","5460"
"【ダニ増殖抑制率99.9%以上】ダニ捕りロボ 詰め替え 誘引マット(ラージ 5枚) 日本製 ダニ取りシート(3か月有効/ 殺虫剤成分ゼロ) 日革研究所","59","55","400","176","¥ 7,046","¥ 7,046","1","B00K0YU6AU","B0DQNWN2BT","29","21.5","1","100"
"ヒルズ プリスクリプションダイエット キャットフード 腸内バイオーム コンフォート 繊維&消化ケア 猫用 チキン ドライ 2kg 療法食","61","57","2000","1767","¥ 7,205","¥ 7,205","4","B07Y1V1NLP","B095YWH81F","30.5","19","9","2040"
"常陸化工 FineCat 固まる紙製猫砂 ファインブルー 12L 5袋入 [ケース品]","64","57","400","445","¥ 5,150","¥ 5,202","8","B07CFRCMSV","B0GKDJ9PDG","47.2","41.2","32.8","17760"
"ニュートロ シュプレモ 全犬種用 子犬用 チキン 3kg ドッグフード ドライ 小粒","65","59","2000","3475","¥ 5,581","¥ 5,581","6","B07CLZ177X","B0FS19Q21W","41.8","30.3","10.4","3050"
"ニャンとも清潔トイレ 脱臭・抗菌シート 8枚入り×8個入り [猫用システムトイレシート]","75","50","","623","¥ 7,928","¥ 7,928","2","B0D2MDZDZW","B0D8HWJWMF","53.3","30.2","23.3","3780"
"デオトイレ 消臭・抗菌シート 猫用トイレシート 60枚(10枚×6袋) 猫 Amazon.co.jp限定","79","57","1000","1095","¥ 6,523","¥ 6,523","1","B0BG14LZJ8","B0H2DBWBT5","39.5","37","15","2700"
"ニュートロ シュプレモ 超小型犬4kg以下用 成犬用 4kg ドッグフード ドライ 小粒","82","57","1000","1619","¥ 6,581","¥ 6,581","3","B00JECUC26","B09XV6J8C5","33.5","30","13.5","4070"
"ニュートロ ナチュラルチョイス 超小型犬~小型犬用 避妊・去勢犬用 成犬用 生後8ヶ月以上 チキン&玄米 3kg ドッグフード ドライ 極小粒","87","54","2000","1513","¥ 5,381","¥ 5,381","8","B007SGJB4A","B0BMLGLJNK","34.8","30.1","12.4","3050"
"ねこ元気 キャットフード ドライ 腎臓の健康維持用 シニア 15歳頃から まぐろ・かつお・白身魚入り 11.2kg(2.8kg×4) 国産 ユニチャーム 【まとめ買い】【ジャンボパック】","90","48","","","¥ 8,445","¥ 8,445","1","B0CP1W11GY","B0CQZJ8W9S","48.2","36.8","26.7","12250"
"わんビオフェルミンS 3袋 【犬用健康補助食品】 大正製薬","110","52","100","503","¥ 8,163","","1","B0DRPLQLZV","B0DS8QNBPN","17","13","1","51"
