"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"ブリタ マクストラプロ ピュアパフォーマンス 浄水器 ポット型 交換用カートリッジ 6個入","4","11","10000","4922","¥ 5,890","¥ 5,890","1","B0CPL68SZN","B0G2Q54LTR","24.6","11.9","11.9","660"
"Hansleep カーテン 1級遮光 幅150cm×丈210cm 2枚組 グレー 断熱 防寒 防音 (グレー, 幅150cm×丈210cm)","8","30","50","17447","¥ 5,111","","1","B0D9BHVDWK","B0DGTMD59K","28.7","28.1","16.3","2620"
"トラスコ中山(TRUSCO) 薄型折りたたみコンテナ スケルコン スケルトンコンテナ 収納ボックス 収納ケース 10個【ケース販売】 530X370X55mm ロックフタ付 50L 透明 TSK-C50B-TM","11","37","","6732","¥ 28,380","¥ 28,380","1","B0C4TH4QKG","B0D7C89JHM","123.3","53","18.3","22800"
"Amazon Echo Spot（2024年発売） - スマートアラームクロック with Alexa、鮮やかなサウンド | ブラック","15","36","200","4442","¥ 11,480","¥ 11,480","1","B0C2S4K41G","B0CZ5J1C73","16","11.5","10.8","620"
"ソフケン アルミ額縁 スリムエイト 330X900 木目柄メイプル 【手ぬぐい額、軽量で作品セットが簡単な額縁】","15","51","","9531","¥ 6,435","¥ 6,435","1","B0DNQJNJWB","B0B2DKM9JC","96","36","7","1400"
"ニトムズ コロコロ フロアクリン スペアテープ フローリング・カーペット対応 45周 10巻入り C4823 白","16","51","50","21","¥ 5,277","¥ 5,277","1","B0BBRD1F1S","B0G56GD5HJ","30.3","17.8","13.1","1360"
"iwaki(イワキ) 耐熱ガラス 保存容器 電子レンジ オーブン 4個セット ホワイト パック＆レンジ PSC-MP-4W1 グラタン皿 耐熱容器 耐熱皿","25","56","","178","¥ 9,333","¥ 9,333","4","B08S34B1RL","B0H6PBK2XV","20.7","19.5","19.2","2530"
"「Coizabera」LED シーリングライト 6畳 28W 3600lm 20個セット 調光調色 リモコン操作 スマホAPP操作 天井照明器具 電気 蛍光灯 洋室 和室 リビング/キッチン/寝室/洗面所 適用 白枠20個セット","26","36","","","¥ 29,999","","1","B0G58K2D8C","B0GYN537FB","60","58.5","37.5","12400"
"【オンライン限定】ティファール 電気ケトル 1.0L ジャスティン・プラス ロック レッド KO4415JP 1250Wのハイパワー たっぷり大容量","28","47","","348","¥ 6,980","","6","B06X927YPC","B0GJSTSSP4","21.9","20.3","18.8","1310"
"タニタ 体重計 体組成計 ヘルスメーター BC-705XL【体脂肪率/内臓脂肪レベル/筋肉量/基礎代謝量/体内年齢/BMI/スマホ連動/乗るピタ】","31","54","2000","87","¥ 6,280","¥ 6,280","1","B0DWXBLF3D","B0FWJ6ZH1T","34.6","33.5","4.4","1940"
"ヒツジのいらない枕 テンセル枕カバー付 まくら 低反発 高反発 丸洗いOK 安眠枕 寝返り 至極","33","45","7000","3562","¥ 15,800","","2","B08KFTF6GX","B0GL23NZHW","54.1","38.3","10.7","4310"
"パナソニック 浄水器 蛇口直結型 カートリッジ交換1年 19物質除去 日本製 ホワイト TK-CJ14-W","52","87","4000","1542","¥ 5,864","¥ 5,864","26","B0CT56JPB2","B0HC338L8J","15.7","14.6","8.4","400"
"マキタ コードレス掃除機CL108 カプセル式 標準25分稼働/充電22分 軽量定番モデル 10.8Vバッテリ充電器付 CL108FDSHW","53","79","4000","6779","¥ 14,409","¥ 14,409","17","B07GWY3HYD","B08344TKCX","51.9","25.3","14.6","2380"
"[山善] 炊飯器 一人暮らし 3合 3種類炊き分け機能 マイコン式 低温調理 無洗米モード 保温 予約機能 ブラック AMRC-5M(B)","58","93","1000","532","¥ 5,980","¥ 5,980","2","B0F6C94THL","B0FW3NM4Z8","38.8","29.4","25.7","3460"
"タイガー 水筒 350ml スクリュー マグボトル ステンレスボトル 真空断熱ボトル 保温保冷 在宅 タンブラー利用可 プレイグラウンドMMZ-K35PWP","75","62","","25","¥ 5,500","¥ 5,500","3","B0B8735NL6","B0GQ3MCP29","17.4","7.2","7.2","200"
"サンナップ 紙コップ 30ml 1oz 3000個(100個×30パック) 内面白未晒し 耐熱 試飲 試食 業務用 C30100AW","71","67","","290","¥ 11,509","¥ 11,509","1","B0GSZF4RXT","B0GT2NJSH4","26.7","8","4","145"
