"Title","Sales Rank: Current","Sales Rank: Drops last 90 days","Monthly Sales Trends: Bought in past month","Reviews: Rating Count","Buy Box: Current","Amazon: Current","New Offer Count: Current","ASIN","Parent ASIN","Package: Length (cm)","Package: Width (cm)","Package: Height (cm)","Package: Weight (g)"
"【New】Amazon Fire TV Stick HD | 手軽にストリーミングをはじめよう | ストリーミングメディアプレイヤー","1","0","5000","2537","¥ 6,980","¥ 6,980","1","B0DVJ64ZLT","B0H4Q1V5MG","15.8","10.7","2.2","150"
"【整備済み品】 Apple iPhone SE（第3世代） 64GB ミッドナイト SIMフリー (整備済み品)","1","1","1000","2577","¥ 39,698","","23","B0BBLWS333","B0BBLXM1Q1","24.9","20.2","5.2","300"
"Amazon Fire TV Stick 4K Select | 4Kの高画質ストリーミング | ストリーミングメディアプレイヤー","2","8","5000","4401","¥ 10,980","¥ 10,980","1","B0G2TXCWFH","B0G641W4K6","16.9","13.2","2.8","240"
"Amazon Echo Dot (エコードット) 第5世代 - Alexa、センサー搭載、鮮やかなサウンド｜ディープシーブルー","2","16","500","10299","¥ 13,980","¥ 13,980","1","B09B97Q4NX","B0BSZ5ZXV2","15.4","10.8","9.9","500"
"Amazonベーシック 単4形 アルカリ乾電池 300本 1.5V 保存期限5年","2","39","50","823049","¥ 6,383","¥ 6,383","1","B07VSV1354","B0F4XC2YCS","27.7","19.8","6.7","3819"
"Amazonベーシック 単3形 アルカリ乾電池 300本 1.5V 保存期限5年","3","45","50","894991","¥ 7,074","¥ 7,074","1","B07VMMY9F5","B0F4X795VT","33.1","28.8","10.7","7710"
"Amazon Fire TV Stick 4K Max(マックス) | Fire TV Stick史上最もパワフル | ストリーミングメディアプレイヤー","4","13","500","7444","¥ 12,980","¥ 12,980","1","B0G2TXBSWJ","B0DP8PTVQ4","17","13.4","2.9","240"
"【整備済み品】 Apple iPhone SE（第2世代） 64GB ホワイト SIMフリー (整備済み品)","4","23","300","3148","¥ 14,000","","21","B08R841VB1","B08R76CMT6","16.5","12.3","3","200"
"Amazon Fire TV Stick 4K Plus | 映画館のような4K体験 | ストリーミングメディアプレイヤー","5","15","4000","1310","¥ 12,980","¥ 12,980","1","B0G2TQZMY1","B0DHTRJM18","17.6","13.2","2.8","240"
"【整備済み品】 Apple iPhone 12 mini 128GB ブラック SIMフリー (整備済み品)","5","29","100","1255","¥ 30,799","","5","B0928MQFY4","B0928N4H3N","19.7","14.3","2.8","150"
"オーディオテクニカ ATH-M20x プロフェッショナル モニターヘッドホン 有線 ブラック","6","36","400","26757","¥ 8,249","¥ 8,249","14","B00HVLUR18","B0BLR5SYDM","24.7","22.6","12.1","640"
"【ケース+フィルム セット！レンズ保護】ESR iPhone 15 Pro Max ケース セット 強化ガラスフィルム1枚 レンズフィルム1組 いphone15promax ケース 米軍MIL規格 耐衝撃 Magsafe スマホケース 黄ばみにくい iphone15promax ケース ワイヤレス充電対応 Classicシリーズ（クリア キラキラ）","6","46","","232","¥ 7,892","","1","B0CKQYH2ZD","B0G2L511PY","17","9.4","1.9","85"
"【整備済み品】 Apple iPhone 14 128GB スターライト SIMフリー 5G対応 (整備済み品)","7","4","200","774","¥ 74,300","","20","B0BLY4F4WM","B0BLY6ZZ6F","30.1","22.9","5.4","370"
"【整備済み品】 Apple iPhone 13 128GB ミッドナイト SIMフリー (整備済み品)","8","28","100","956","¥ 47,000","","14","B09P82GYVF","B09P82RTM5","19","18.2","7.6","340"
"Anker Soundcore P40i オフホワイト","9","84","5000","8976","¥ 6,490","","2","B0CP4RHK7X","B0H8R252PB","12","11","3.9","110"
"Amazon Echo Show 5 (エコーショー5) 第3世代 - スマートディスプレイ with Alexa、2メガピクセルカメラ付き、チャコール","10","18","500","8031","¥ 12,980","¥ 12,980","1","B09B2PF8S4","B0CBST85DT","15","13.5","8.5","660"
"Apple AirPods Pro 3 ワイヤレスイヤホン、アクティブノイズキャンセリング、ライブ翻訳、心拍センサー、補聴機能、Bluetoothヘッドホン、空間オーディオ サウンド、USB-C充電ケース、防塵性能と耐汗耐水性能、「探す」対応、Qi充電","11","102","10000","1848","¥ 36,800","¥ 36,800","1","B0FQFQDN6K","B0FTZ8XV4Y","9.4","8.1","4.4","170"
"【整備済み品】 Apple iPhone 15 128GB イエロー SIMフリー 5G対応 (整備済み品)","11","5","","341","¥ 97,699","","7","B0CMWLKS7C","B0CMWNV295","26.7","20","8.5","440"
